Key,PFC1,PFC2
F3,9,19
F7,9,23
backspace,9,31
tab,9,15
T,9,22
Y,9,18
bracket_left,9,24
bracket_right,9,25
capslock,9,21
left_shift,9,12
B,10,22
N,10,18
slash,10,24
space,10,31
right_alt,10,27
left_arrow,10,29
down_arrow,10,32
right_arrow,10,28
enter,11,31
PRTSCR,11,29
Z,11,15
X,11,21
C,11,19
V,11,22
M,11,18
comma,11,25
dot,11,23
right_shift,11,12
right_ctrl,11,26
F2,17,19
F1,17,21
F8,17,23
F9,17,31
tilda,15,17
ESC,15,20
1,14,15
Q,15,16
A,13,15
7,14,18
8,14,25
9,14,23
0,14,24
F10,14,31
F11,14,32
F12,14,28
INSERT,14,27
2,14,21
3,14,19
4,14,22
S,13,21
D,13,19
F,13,22
backslash,13,31
J,13,18
K,13,25
L,13,23
semicolon,13,24
equal,17,25
minus,17,24
left_ctrl,17,26
6,17,18
G,20,22
H,18,20
apostrophe,20,24
F4,19,20
DELETE,16,27
W,16,21
E,16,19
R,16,22
U,16,18
I,16,25
O,16,23
P,16,24
left_win,16,30
5,17,22
F5,20,31
F6,20,25
up_arrow,20,29
left_alt,20,27
